Column,Variable,Label
OHX14CJP,99,"Cannot be assessed"
OHX14CJP,.,"Missing"
OHX14CJL,-11 to 1,"Range of Values"
OHX14CJL,99,"Cannot be assessed"
OHX14CJL,.,"Missing"
OHX14CJA,-6 to 3,"Range of Values"
OHX14CJA,99,"Cannot be assessed"
OHX14CJA,.,"Missing"
OHX14PCD,0 to 9,"Range of Values"
OHX14PCD,99,"Cannot be assessed"
OHX14PCD,.,"Missing"
OHX14PCM,0 to 6,"Range of Values"
OHX14PCM,99,"Cannot be assessed"
OHX14PCM,.,"Missing"
OHX14PCS,0 to 7,"Range of Values"
OHX14PCS,99,"Cannot be assessed"
OHX14PCS,.,"Missing"
OHX14PCP,0 to 9,"Range of Values"
OHX14PCP,99,"Cannot be assessed"
OHX14PCP,.,"Missing"
OHX14PCL,0 to 6,"Range of Values"
OHX14PCL,99,"Cannot be assessed"
OHX14PCL,.,"Missing"
OHX14PCA,0 to 9,"Range of Values"
OHX14PCA,99,"Cannot be assessed"
OHX14PCA,.,"Missing"
OHX14LAD,0 to 10,"Range of Values"
OHX14LAD,99,"Cannot be assessed"
OHX14LAD,.,"Missing"
OHX14LAM,0 to 12,"Range of Values"
OHX14LAM,99,"Cannot be assessed"
OHX14LAM,.,"Missing"
OHX14LAS,0 to 11,"Range of Values"
OHX14LAS,99,"Cannot be assessed"
OHX14LAS,.,"Missing"
OHX14LAP,0 to 11,"Range of Values"
